Source,Target,Type,Id,Label,timeset,Weight
fahadlghofaili,AbdullahElshrif,Directed,386330,,,1
drassagheer,AbdullahElshrif,Directed,379010,,,1
Dr_Utaybi,AbdullahElshrif,Directed,378591,,,1
AlshimaaMorsi,AbdullahElshrif,Directed,341388,,,1
Alshamsi789,AbdullahElshrif,Directed,340595,,,1
AlhawaliAa,AbdullahElshrif,Directed,331635,,,1
Aldiwan2030,AbdullahElshrif,Directed,329561,,,1
rdooan,alqaradawy,Directed,514073,,,1
mohammed_slman,alqaradawy,Directed,468044,,,1
Khaledkhoja,alqaradawy,Directed,429501,,,1
jamilfarsi,alqaradawy,Directed,422059,,,1
fahadlghofaili,alqaradawy,Directed,386254,,,1
drassagheer,alqaradawy,Directed,378985,,,1
AlshimaaMorsi,alqaradawy,Directed,341308,,,1
Alshamsi789,alqaradawy,Directed,340521,,,1
AlhawaliAa,alqaradawy,Directed,331559,,,1
abukhald100,alqaradawy,Directed,314625,,,1
rdooan,TareqAlSuwaidan,Directed,513880,,,1
mohammed_slman,TareqAlSuwaidan,Directed,467840,,,1
mahwe311,TareqAlSuwaidan,Directed,446569,,,1
AlshimaaMorsi,TareqAlSuwaidan,Directed,340867,,,1
abukhald100,TareqAlSuwaidan,Directed,314556,,,1
Abubelal_1951,TareqAlSuwaidan,Directed,314085,,,1
abanaemah,TareqAlSuwaidan,Directed,299248,,,1
MajedAlasmariAP,TawakkolKarman,Directed,976,,,1
rdooan,TawakkolKarman,Directed,513879,,,1
m3takl_en,TawakkolKarman,Directed,443652,,,1
LayanGCC,TawakkolKarman,Directed,438002,,,1
fahadlghofaili,TawakkolKarman,Directed,385892,,,1
AlshimaaMorsi,TawakkolKarman,Directed,340864,,,1
rdooan,Ali_AlQaradaghi,Directed,514082,,,1
mu7aqiq20,Ali_AlQaradaghi,Directed,478293,,,1
Husain_Alq,Ali_AlQaradaghi,Directed,409835,,,1
fahadlghofaili,Ali_AlQaradaghi,Directed,386275,,,1
drassagheer,Ali_AlQaradaghi,Directed,378989,,,1
Dr_Utaybi,Ali_AlQaradaghi,Directed,378550,,,1
AlshimaaMorsi,Ali_AlQaradaghi,Directed,341323,,,1
AlhawaliAa,Ali_AlQaradaghi,Directed,331573,,,1
MediaCenterAA,osgaweesh,Directed,453716,,,1
Alshamsi789,osgaweesh,Directed,340138,,,1
rdooan,tahagnc,Directed,513883,,,1
Kh_OZ,tahagnc,Directed,426923,,,1
GamalSultan1,tahagnc,Directed,394740,,,1
abanaemah,tahagnc,Directed,299254,,,1
Politic_Star,hrw_ar,Directed,505357,,,1
